"Class","max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"Clinical History (CH)",5,32,16,0,NA,0,NA,0.592520539081768,NA,0,NA
"Clinical History (CH)",5,32,32,0,NA,0,NA,0.590610827832659,NA,0,NA
"Clinical History (CH)",5,32,64,0,NA,0,NA,0.593914388694372,NA,0,NA
"Clinical History (CH)",5,64,16,0,NA,0,NA,0.597504424651659,NA,0,NA
"Clinical History (CH)",5,64,32,0,NA,0,NA,0.595294476764498,NA,0,NA
"Clinical History (CH)",5,64,64,0,NA,0,NA,0.595020497790139,NA,0,NA
"Clinical History (CH)",10,32,16,0,NA,0,NA,0.595845057814468,NA,0,NA
"Clinical History (CH)",10,32,32,0,NA,0,NA,0.595573372394205,NA,0,NA
"Clinical History (CH)",10,32,64,0,NA,0,NA,0.597233499173265,NA,0,NA
"Clinical History (CH)",10,64,16,0,NA,0,NA,0.596125490179332,NA,0,NA
"Clinical History (CH)",10,64,32,0,NA,0,NA,0.598612832637031,NA,0,NA
"Clinical History (CH)",10,64,64,0,NA,0,NA,0.596122449262075,NA,0,NA
"Clinical History (CH)",50,32,16,0,NA,0,NA,0.590888986617778,NA,0,NA
"Clinical History (CH)",50,32,32,0,NA,0,NA,0.59446610748806,NA,0,NA
"Clinical History (CH)",50,32,64,0,NA,0,NA,0.598060715914697,NA,0,NA
"Clinical History (CH)",50,64,16,0,NA,0,NA,0.595571858756328,NA,0,NA
"Clinical History (CH)",50,64,32,0,NA,0,NA,0.596121681924564,NA,0,NA
"Clinical History (CH)",50,64,64,0,NA,0,NA,0.595296749281449,NA,0,NA
"Disparity Indicators (DI)",5,32,16,0.986373396439311,0.996189248065759,0.990101859676897,0.99312472313764,0.592520539081768,0.592116420272557,0.990142772598545,0.741011876075067
"Disparity Indicators (DI)",5,32,32,0.989166961804168,0.996197870773816,0.992904051572782,0.994530648973162,0.590610827832659,0.591023588829125,0.992936337963401,0.740923769667248
"Disparity Indicators (DI)",5,32,64,0.986842812043145,0.996189253388374,0.990571279972254,0.993361969580485,0.593914388694372,0.593080323787158,0.990612188202378,0.741904953075651
"Disparity Indicators (DI)",5,64,16,0.983537489914293,0.996178997065128,0.987255851607173,0.991688203455538,0.597504424651659,0.595971210472464,0.987306866073526,0.74323051315337
"Disparity Indicators (DI)",5,64,32,0.983549704636248,0.996176663713445,0.987265952027227,0.99168427799936,0.595294476764498,0.595127927504173,0.987319080795481,0.742568570194645
"Disparity Indicators (DI)",5,64,64,0.984480870545234,0.996180111767361,0.988200357711501,0.992164379902917,0.595020497790139,0.594674674756824,0.988250246704467,0.742487225884941
"Disparity Indicators (DI)",10,32,16,0.985900504478789,0.996185843523624,0.989625605322507,0.992884631510782,0.595845057814468,0.594350250523062,0.989669880638022,0.742633921163365
"Disparity Indicators (DI)",10,32,32,0.985900504478789,0.996185843523624,0.989625605322507,0.992884631510782,0.595573372394205,0.594170106643758,0.989669880638022,0.74249836597199
"Disparity Indicators (DI)",10,32,64,0.98401028230994,0.996178980673594,0.987728659598294,0.991926010907712,0.597233499173265,0.595570289825927,0.987779658469173,0.743055394625169
"Disparity Indicators (DI)",10,64,16,0.986368925292183,0.996189248065759,0.990097367313914,0.993124713785073,0.596125490179332,0.594787089368412,0.990138301451416,0.74311527999496
