"Class","max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"Clinical History (CH)",5,32,16,0.980332618008915,0.5,0.00606060606060606,0.0294117647058824,0.600775049556266,0.333333333333333,0.000248988508401522,0.00124339458703994
"Clinical History (CH)",5,32,32,0.979834718486201,0.166666666666667,0.00606060606060606,0.019047619047619,0.585338524402041,0.347222222222222,0.000746888031115427,0.00248139720804379
"Clinical History (CH)",5,32,64,0.979959096595654,0.333333333333333,0.00909090909090909,0.0289855072463768,0.591110316921806,0.327777777777778,0.00062235512625578,0.00206782464846981
"Clinical History (CH)",5,64,16,0.98008355210281,0.333333333333333,0.00909090909090909,0.0289855072463768,0.593581032311297,0.255050505050505,0.000497899619099588,0.00165221585778588
"Clinical History (CH)",5,64,32,0.980208162501758,0.333333333333333,0.00645161290322581,0.0588235294117647,0.586538411566374,0.1875,0.00037359900373599,0.00371747211895911
"Clinical History (CH)",5,64,64,0.979834718486201,0,0,0,0.595114703076663,0.206349206349206,0.000497977016803043,0.00247985120892746
"Clinical History (CH)",10,32,16,0.9803326181053,0.5,0.0155425219941349,0.049187527448397,0.601354504829088,0.279761904761905,0.000497899619099588,0.00165477473903192
"Clinical History (CH)",10,32,32,0.980208239995848,0,0,0,0.608049449897279,0.333333333333333,0.000124455507156192,0.00124223602484472
"Clinical History (CH)",10,32,64,0.980457228504249,1,0.00645161290322581,0.0625,0.594895076008279,0.5,0.00012453300124533,0.00124378109452736
"Clinical History (CH)",10,64,16,0.980457073612456,1,0.00909090909090909,0.0869565217391304,0.607924890484797,0.5,0.000124378109452736,0.00124223602484472
"Clinical History (CH)",10,64,32,0.979461274470643,0.0833333333333333,0.00606060606060606,0.0256410256410256,0.59450507570611,0.324519230769231,0.00112033204667314,0.00555327213773576
"Clinical History (CH)",10,64,64,0.980332695503004,0.5,0.00645161290322581,0.0606060606060606,0.595050410606052,0.133333333333333,0.00024906600249066,0.00248292985723153
"Clinical History (CH)",50,32,16,0.980208239995848,0.25,0.00645161290322581,0.0303030303030303,0.608675593075216,0.375,0.000373521509646852,0.0018629684891526
"Clinical History (CH)",50,32,32,0.980083784488691,0.25,0.00606060606060606,0.0540540540540541,0.609316372622054,0.285714285714286,0.000497822028624767,0.00495662949194548
"Clinical History (CH)",50,32,64,0.979710417967223,0.166666666666667,0.00606060606060606,0.0277777777777778,0.609003925656044,0.472222222222222,0.000871188550093342,0.00433513593144807
"Clinical History (CH)",50,64,16,0.980457073612456,0.75,0.0155425219941349,0.0737812911725955,0.607345322518201,0.161904761904762,0.000373444111943396,0.0018598884066956
"Clinical History (CH)",50,64,32,0.980208007609966,0.5,0.00909090909090909,0.0434782608695652,0.606720191196335,0.15,0.000373444111943396,0.00185338497890528
"Clinical History (CH)",50,64,64,0.980083784488691,0.25,0.00645161290322581,0.0303030303030303,0.605281125743631,0.285714285714286,0.000497977016803043,0.0024790829774501
"Disparity Indicators (DI)",5,32,16,0.0667574327153251,0.061213491699264,0.959341483509373,0.115073343685222,0.600775049556266,0.572930469589847,0.991344509750076,0.726166302205444
"Disparity Indicators (DI)",5,32,32,0.100239143861967,0.063411222383645,0.95833392683431,0.118931993445704,0.585338524402041,0.563305402849342,0.957736933279331,0.709120367851967
"Disparity Indicators (DI)",5,32,64,0.0769890384789564,0.0621256000299847,0.963875488547156,0.116711907234422,0.591110316921806,0.567115455438052,0.981679297944909,0.718792530370125
"Disparity Indicators (DI)",5,64,16,0.066631557468098,0.0611777437280276,0.958838970946559,0.115006582301916,0.593581032311297,0.567301088022498,0.991407462234994,0.721636449004956
"Disparity Indicators (DI)",5,64,32,0.0914352631662271,0.0631919595109869,0.965346102447017,0.118606816310257,0.586538411566374,0.565734221638295,0.967485447997017,0.713753470490782
"Disparity Indicators (DI)",5,64,64,0.0666630584700458,0.0614580171689949,0.963875488547156,0.115537980858096,0.595114703076663,0.566134341990741,0.99200527795382,0.720838629078806
"Disparity Indicators (DI)",10,32,16,0.0691485175043856,0.0613617832994889,0.959341483509373,0.115335489024549,0.601354504829088,0.572824379231584,0.988953424961016,0.725437603371402
"Disparity Indicators (DI)",10,32,32,0.0688040273740498,0.0613459484330727,0.959341483509373,0.115305945301659,0.608049449897279,0.57600298292081,0.989297915091352,0.728082858920594
