"Entity","Label","Type","Class"
"malf","SEX","text","Disparity Indicators (DI)"
"fcmale","SEX","text","Disparity Indicators (DI)"
"fetale","SEX","text","Disparity Indicators (DI)"
"mmle","SEX","text","Disparity Indicators (DI)"
"femile","SEX","text","Disparity Indicators (DI)"
"femaye","SEX","text","Disparity Indicators (DI)"
"temale","SEX","text","Disparity Indicators (DI)"
"bale","SEX","text","Disparity Indicators (DI)"
"fqmale","SEX","text","Disparity Indicators (DI)"
"femhle","SEX","text","Disparity Indicators (DI)"
"mala","SEX","text","Disparity Indicators (DI)"
"femaln","SEX","text","Disparity Indicators (DI)"
"femalm","SEX","text","Disparity Indicators (DI)"
"cemale","SEX","text","Disparity Indicators (DI)"
"fesale","SEX","text","Disparity Indicators (DI)"
"myle","SEX","text","Disparity Indicators (DI)"
"hemale","SEX","text","Disparity Indicators (DI)"
"eemale","SEX","text","Disparity Indicators (DI)"
"xale","SEX","text","Disparity Indicators (DI)"
"ffmale","SEX","text","Disparity Indicators (DI)"
"femade","SEX","text","Disparity Indicators (DI)"
"malq","SEX","text","Disparity Indicators (DI)"
"fumale","SEX","text","Disparity Indicators (DI)"
"nale","SEX","text","Disparity Indicators (DI)"
"fpmale","SEX","text","Disparity Indicators (DI)"
"mame","SEX","text","Disparity Indicators (DI)"
"femrle","SEX","text","Disparity Indicators (DI)"
"fhmale","SEX","text","Disparity Indicators (DI)"
"mple","SEX","text","Disparity Indicators (DI)"
"femaee","SEX","text","Disparity Indicators (DI)"
"femald","SEX","text","Disparity Indicators (DI)"
"femage","SEX","text","Disparity Indicators (DI)"
"malc","SEX","text","Disparity Indicators (DI)"
"femtle","SEX","text","Disparity Indicators (DI)"
"femkle","SEX","text","Disparity Indicators (DI)"
"femala","SEX","text","Disparity Indicators (DI)"
"femame","SEX","text","Disparity Indicators (DI)"
"malg","SEX","text","Disparity Indicators (DI)"
"fenale","SEX","text","Disparity Indicators (DI)"
"femalk","SEX","text","Disparity Indicators (DI)"
"feoale","SEX","text","Disparity Indicators (DI)"
"mcle","SEX","text","Disparity Indicators (DI)"
"femalo","SEX","text","Disparity Indicators (DI)"
"malm","SEX","text","Disparity Indicators (DI)"
"maee","SEX","text","Disparity Indicators (DI)"
"femalg","SEX","text","Disparity Indicators (DI)"
"femawe","SEX","text","Disparity Indicators (DI)"
"femalu","SEX","text","Disparity Indicators (DI)"
"femaze","SEX","text","Disparity Indicators (DI)"
"femyle","SEX","text","Disparity Indicators (DI)"
"femare","SEX","text","Disparity Indicators (DI)"
"mwle","SEX","text","Disparity Indicators (DI)"
"femabe","SEX","text","Disparity Indicators (DI)"
"malo","SEX","text","Disparity Indicators (DI)"
"mtle","SEX","text","Disparity Indicators (DI)"
"jemale","SEX","text","Disparity Indicators (DI)"
"bemale","SEX","text","Disparity Indicators (DI)"
"fejale","SEX","text","Disparity Indicators (DI)"
"maly","SEX","text","Disparity Indicators (DI)"
"frmale","SEX","text","Disparity Indicators (DI)"
"maie","SEX","text","Disparity Indicators (DI)"
"fvmale","SEX","text","Disparity Indicators (DI)"
"mkle","SEX","text","Disparity Indicators (DI)"
"memale","SEX","text","Disparity Indicators (DI)"
"femdle","SEX","text","Disparity Indicators (DI)"
"femaae","SEX","text","Disparity Indicators (DI)"
"mane","SEX","text","Disparity Indicators (DI)"
"iale","SEX","text","Disparity Indicators (DI)"
"malp","SEX","text","Disparity Indicators (DI)"
"gale","SEX","text","Disparity Indicators (DI)"
"femahe","SEX","text","Disparity Indicators (DI)"
"fsmale","SEX","text","Disparity Indicators (DI)"
"mnle","SEX","text","Disparity Indicators (DI)"
"femalp","SEX","text","Disparity Indicators (DI)"
"mace","SEX","text","Disparity Indicators (DI)"
"fymale","SEX","text","Disparity Indicators (DI)"
"hale","SEX","text","Disparity Indicators (DI)"
"qemale","SEX","text","Disparity Indicators (DI)"
"mawe","SEX","text","Disparity Indicators (DI)"
"femafe","SEX","text","Disparity Indicators (DI)"
"yes","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"y","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"no","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"unk","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"n","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"bach degree","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to 1u","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to 11","EDUCATION","text","Disparity Indicators (DI)"
"spec ed","EDUCATION","text","Disparity Indicators (DI)"
"grades 1 to 5","EDUCATION","text","Disparity Indicators (DI)"
"prof degree","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"grades 6 to 8","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degree","EDUCATION","text","Disparity Indicators (DI)"
"nr","EDUCATION","text","Disparity Indicators (DI)"
"grades 1 t 5","EDUCATION","text","Disparity Indicators (DI)"
"post grad study","EDUCATION","text","Disparity Indicators (DI)"
"b degree","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc dezree","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 1w ged","EDUCATION","text","Disparity Indicators (DI)"
"t assoc degree","EDUCATION","text","Disparity Indicators (DI)"
"giades 9 to 11","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 t 11","EDUCATION","text","Disparity Indicators (DI)"
"spec e","EDUCATION","text","Disparity Indicators (DI)"
"grades b to 8","EDUCATION","text","Disparity Indicators (DI)"
"bach dygree","EDUCATION","text","Disparity Indicators (DI)"
"no school","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 12 g","EDUCATION","text","Disparity Indicators (DI)"
"p grad study","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to 1t","EDUCATION","text","Disparity Indicators (DI)"
"completed grnde 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed yrade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"grades 1 to g","EDUCATION","text","Disparity Indicators (DI)"
"post g study","EDUCATION","text","Disparity Indicators (DI)"
"complvted grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"tech assac degree","EDUCATION","text","Disparity Indicators (DI)"
"grades 6 to g","EDUCATION","text","Disparity Indicators (DI)"
"comeleted grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"bach degrez","EDUCATION","text","Disparity Indicators (DI)"
"tech cssoc degree","EDUCATION","text","Disparity Indicators (DI)"
"p degree","EDUCATION","text","Disparity Indicators (DI)"
"campleted grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"n school","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 1t ged","EDUCATION","text","Disparity Indicators (DI)"
"commleted grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"bach dtgree","EDUCATION","text","Disparity Indicators (DI)"
"bach degrue","EDUCATION","text","Disparity Indicators (DI)"
"grjdes 1 to 5","EDUCATION","text","Disparity Indicators (DI)"
"completed grady 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed gsade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed grade o2 ged","EDUCATION","text","Disparity Indicators (DI)"
"grades c to 11","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to t1","EDUCATION","text","Disparity Indicators (DI)"
"grades 6 to i","EDUCATION","text","Disparity Indicators (DI)"
"compleped grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed grgde 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"bach degrew","EDUCATION","text","Disparity Indicators (DI)"
"grades 6 t 8","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc dearee","EDUCATION","text","Disparity Indicators (DI)"
"gradea 1 to 5","EDUCATION","text","Disparity Indicators (DI)"
"completed grade w2 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed gaade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"tech asfoc degree","EDUCATION","text","Disparity Indicators (DI)"
"tech asjoc degree","EDUCATION","text","Disparity Indicators (DI)"
"tech asvoc degree","EDUCATION","text","Disparity Indicators (DI)"
"bach dlgree","EDUCATION","text","Disparity Indicators (DI)"
"grades 1 to z","EDUCATION","text","Disparity Indicators (DI)"
"bach legree","EDUCATION","text","Disparity Indicators (DI)"
"gradev 9 to 11","EDUCATION","text","Disparity Indicators (DI)"
"grades i to 8","EDUCATION","text","Disparity Indicators (DI)"
"tech assot degree","EDUCATION","text","Disparity Indicators (DI)"
"completed grade d2 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed grxde 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"rrades 6 to 8","EDUCATION","text","Disparity Indicators (DI)"
"bach tegree","EDUCATION","text","Disparity Indicators (DI)"
"completed grade j2 ged","EDUCATION","text","Disparity Indicators (DI)"
"post grad stuyy","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degren","EDUCATION","text","Disparity Indicators (DI)"
"grades z to 11","EDUCATION","text","Disparity Indicators (DI)"
"grades e to 11","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc dygree","EDUCATION","text","Disparity Indicators (DI)"
"bach dqgree","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc dqgree","EDUCATION","text","Disparity Indicators (DI)"
"grfdes 9 to 11","EDUCATION","text","Disparity Indicators (DI)"
"crades 6 to 8","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 1j ged","EDUCATION","text","Disparity Indicators (DI)"
"completed grate 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"prof degref","EDUCATION","text","Disparity Indicators (DI)"
"bach degrle","EDUCATION","text","Disparity Indicators (DI)"
"completed frade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"prof deuree","EDUCATION","text","Disparity Indicators (DI)"
"grades m to 5","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to 1y","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 1x ged","EDUCATION","text","Disparity Indicators (DI)"
"bach dekree","EDUCATION","text","Disparity Indicators (DI)"
"grazes 6 to 8","EDUCATION","text","Disparity Indicators (DI)"
"completed xrade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"post grad atudy","EDUCATION","text","Disparity Indicators (DI)"
"completed grade v2 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed gfade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"bach dexree","EDUCATION","text","Disparity Indicators (DI)"
"goades 1 to 5","EDUCATION","text","Disparity Indicators (DI)"
"bach wegree","EDUCATION","text","Disparity Indicators (DI)"
"tech avsoc degree","EDUCATION","text","Disparity Indicators (DI)"
"completen grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"tech ossoc degree","EDUCATION","text","Disparity Indicators (DI)"
"employed pt","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"retired","EMPLOYMENT","text","Disparity Indicators (DI)"
"employbd ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"other","EMPLOYMENT","text","Disparity Indicators (DI)"
"health cond disability","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying working","EMPLOYMENT","text","Disparity Indicators (DI)"
"informal work","EMPLOYMENT","text","Disparity Indicators (DI)"
"spudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"s emp","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemplayed","EMPLOYMENT","text","Disparity Indicators (DI)"
"self emp","EMPLOYMENT","text","Disparity Indicators (DI)"
"stydying","EMPLOYMENT","text","Disparity Indicators (DI)"
"emlloyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"sdudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemplored","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyigg","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed ut","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed ct","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed lt","EMPLOYMENT","text","Disparity Indicators (DI)"
"stuxying","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemakej","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyieg","EMPLOYMENT","text","Disparity Indicators (DI)"
"stuiying","EMPLOYMENT","text","Disparity Indicators (DI)"
"emplzyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"homwmaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyiny","EMPLOYMENT","text","Disparity Indicators (DI)"
"self e","EMPLOYMENT","text","Disparity Indicators (DI)"
"stuaying","EMPLOYMENT","text","Disparity Indicators (DI)"
"xmployed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"emplqyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fm","EMPLOYMENT","text","Disparity Indicators (DI)"
"fnemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"otudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"studygng","EMPLOYMENT","text","Disparity Indicators (DI)"
"honemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"komemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyizg","EMPLOYMENT","text","Disparity Indicators (DI)"
"siudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"aetired","EMPLOYMENT","text","Disparity Indicators (DI)"
"nr","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed vt","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyung","EMPLOYMENT","text","Disparity Indicators (DI)"
"health c disability","EMPLOYMENT","text","Disparity Indicators (DI)"
"health cond kisability","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying worhing","EMPLOYMENT","text","Disparity Indicators (DI)"
"homvmaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying workino","EMPLOYMENT","text","Disparity Indicators (DI)"
"uaemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"stuzying","EMPLOYMENT","text","Disparity Indicators (DI)"
"informal w","EMPLOYMENT","text","Disparity Indicators (DI)"
"stuoying","EMPLOYMENT","text","Disparity Indicators (DI)"
"employec pt","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed pw","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed yt","EMPLOYMENT","text","Disparity Indicators (DI)"
"employeg ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"strdying","EMPLOYMENT","text","Disparity Indicators (DI)"
"ctudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyikg","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying worring","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyfng","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyino","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed pq","EMPLOYMENT","text","Disparity Indicators (DI)"
"uneiployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"emmloyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed gt","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fy","EMPLOYMENT","text","Disparity Indicators (DI)"
"empmoyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fr","EMPLOYMENT","text","Disparity Indicators (DI)"
"sjudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"hohemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"stidying","EMPLOYMENT","text","Disparity Indicators (DI)"
"unerployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"uneeployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"homrmaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"stodying","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployea","EMPLOYMENT","text","Disparity Indicators (DI)"
"ewployed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemaner","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemakor","EMPLOYMENT","text","Disparity Indicators (DI)"
"emtloyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying wkrking","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployld","EMPLOYMENT","text","Disparity Indicators (DI)"
"unexployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"dtudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployeb","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fx","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyisg","EMPLOYMENT","text","Disparity Indicators (DI)"
"untmployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"unqmployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed it","EMPLOYMENT","text","Disparity Indicators (DI)"
"empjoyed pt","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying wogking","EMPLOYMENT","text","Disparity Indicators (DI)"
"studfing","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fs","EMPLOYMENT","text","Disparity Indicators (DI)"
"homkmaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"studring","EMPLOYMENT","text","Disparity Indicators (DI)"
"jnemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"ugemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemsker","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fi","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemafer","EMPLOYMENT","text","Disparity Indicators (DI)"
"emplxyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"h cond disability","EMPLOYMENT","text","Disparity Indicators (DI)"
"sxudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"ucemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"otheb","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed pa","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemploypd","EMPLOYMENT","text","Disparity Indicators (DI)"
"emplgyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyicg","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemploied","EMPLOYMENT","text","Disparity Indicators (DI)"
"stuuying","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyiag working","EMPLOYMENT","text","Disparity Indicators (DI)"
"ftudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"stuvying","EMPLOYMENT","text","Disparity Indicators (DI)"
"stedying","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyidg","EMPLOYMENT","text","Disparity Indicators (DI)"
"sfudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyiig working","EMPLOYMENT","text","Disparity Indicators (DI)"
"studping","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fp","EMPLOYMENT","text","Disparity Indicators (DI)"
"udemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"emplobed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyeng","EMPLOYMENT","text","Disparity Indicators (DI)"
"edployed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fa","EMPLOYMENT","text","Disparity Indicators (DI)"
"syudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyibg","EMPLOYMENT","text","Disparity Indicators (DI)"
"empyoyed pt","EMPLOYMENT","text","Disparity Indicators (DI)"
"stulying","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployew","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fo","EMPLOYMENT","text","Disparity Indicators (DI)"
"both","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"inside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"outside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"octside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"b","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insyde","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insidm","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"inoide","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"qnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insidd","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"iyside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insije","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insade","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"outsidg","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insida","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"nr","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"fnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insede","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"tnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insine","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insdde","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"oueside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"inzide","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"ostside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"igside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insige","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"wnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"incide","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"inride","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"inwide","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insidk","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insjde","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"pnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"jnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insiie","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"dnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"ouqside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"inaide","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"mnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"all","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"none","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"some","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"a","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nzne","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nobe","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nsne","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"come","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nr","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nowe","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nont","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"unk","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"ntne","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nose","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"vone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"all that open","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"noae","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"eone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"xone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nonb","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nons","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nhne","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nope","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"noze","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"u","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"noqe","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nole","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"fone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nofe","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"sowe","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nonp","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"sometices","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"always","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"sometimes","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwayo","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"never","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwkys","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
