"Class","algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"Clinical History (CH)","arow",5,0.994522252718781,1,0.994522252718781,0.997244392139683,0.997247484138588,0.994580216429402,0.994522252718781,0.994535894016412
"Clinical History (CH)","arow",10,0.995517819378327,1,0.995517819378327,0.997746152475398,0.997826122315793,0.995201076835319,0.995517819378327,0.995341664053797
"Clinical History (CH)","arow",50,0.998879435374674,1,0.998879435374674,0.999438727008097,0.99923360024933,0.99826884724002,0.998879435374674,0.998570316138262
"Clinical History (CH)","arow",100,0.999377334993773,1,0.999377334993773,0.999688182101653,0.999499513654152,0.998756523780379,0.999377334993773,0.999066330894197
"Clinical History (CH)","averaged-perceptron",5,0.900017588555821,1,0.900017588555821,0.941643160351247,0.940986601004663,0.934452632881955,0.900017588555821,0.912424311966777
"Clinical History (CH)","averaged-perceptron",10,0.977962462931175,1,0.977962462931175,0.988767281217738,0.981245217192732,0.967758704889237,0.977962462931175,0.972648632063009
"Clinical History (CH)","averaged-perceptron",50,0.996389782387383,1,0.996389782387383,0.998188954197371,0.997669362394446,0.995777381124385,0.996389782387383,0.996080110746811
"Clinical History (CH)","averaged-perceptron",100,0.997011982621846,1,0.997011982621846,0.998500655177596,0.998482783893114,0.996274496243839,0.997011982621846,0.996639287793661
"Clinical History (CH)","l2sgd",5,0.615821810781557,1,0.615821810781557,0.639290624510638,0.792858464444134,0.734238196197983,0.615821810781557,0.624542945257137
"Clinical History (CH)","l2sgd",10,0.615697355274401,1,0.615697355274401,0.639228261003574,0.798130104625364,0.745750081171827,0.615697355274401,0.630386942003906
"Clinical History (CH)","l2sgd",50,0.621171927129293,1,0.621171927129293,0.642150440922004,0.802791674433584,0.752865128026106,0.621171927129293,0.63785739171497
"Clinical History (CH)","l2sgd",100,0.621669594362511,1,0.621669594362511,0.642399972674124,0.803088881845221,0.754208858162583,0.621669594362511,0.638728512345898
"Clinical History (CH)","lbfgs",5,0.984690342834274,1,0.984690342834274,0.992285784332711,0.92537021076579,0.84780447182434,0.984690342834274,0.91109306406332
"Clinical History (CH)","lbfgs",10,0.991659543186378,1,0.991659543186378,0.99580269756615,0.995995605286275,0.995500915003465,0.991659543186378,0.993567336615175
"Clinical History (CH)","lbfgs",50,0.999751088889302,1,0.999751088889302,0.999875505709621,0.999702803594268,0.998757529865085,0.999751088889302,0.999253769525062
"Clinical History (CH)","lbfgs",100,0.999751088889302,1,0.999751088889302,0.999875505709621,0.999702803594268,0.998757529865085,0.999751088889302,0.999253769525062
"Clinical History (CH)","passive-aggressive",5,0.999626478490353,1,0.999626478490353,0.999813142287029,0.994165004088893,0.999875699192045,0.999626478490353,0.999750972563684
"Clinical History (CH)","passive-aggressive",10,0.999626478490353,1,0.999626478490353,0.999813142287029,0.999342975142489,0.999626788177732,0.999626478490353,0.999626517056528
