"Class","max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"Clinical History (CH)",5,32,16,0.979645238692982,0,0,0,0.587968985904171,0.0333333333333333,0.000127877237851662,0.00127064803049555
"Clinical History (CH)",5,32,32,0.97938874662132,0.166666666666667,0.00645161290322581,0.0202020202020202,0.589554153980148,0.324074074074074,0.000640123785216588,0.00212559352573243
"Clinical History (CH)",5,32,64,0.979260869383468,0,0,0,0.594987137285958,0.2375,0.000512246547364926,0.00170285540092582
"Clinical History (CH)",5,64,16,0.979516705674423,0,0,0,0.571792522395355,0.166666666666667,0.000256410256410256,0.00255754475703325
"Clinical History (CH)",5,64,32,0.979133074590619,0,0,0,0.590623378795722,0.336805555555556,0.000640041340213986,0.0021253249850633
"Clinical History (CH)",5,64,64,0.979773115930833,NA,0,NA,0.598706781979905,0,0,NA
"Clinical History (CH)",10,32,16,0.979644828987377,0.444444444444444,0.0144516129032258,0.0446428571428571,0.598501946279098,0.158333333333333,0.000640451675570054,0.00212341495150464
"Clinical History (CH)",10,32,32,0.97938874662132,0,0,0,0.583811901243643,0.158730158730159,0.000384369309513263,0.00191408188333293
"Clinical History (CH)",10,32,64,0.97938874662132,0,0,0,0.598752986858362,0.266666666666667,0.000384369309513263,0.00191489431021451
"Clinical History (CH)",10,64,16,0.979389238771524,0,0,0,0.593713264739803,0.25,0.000383877159309021,0.00191123656802844
"Clinical History (CH)",10,64,32,0.979260787568217,0,0,0,0.593684876866439,0.277777777777778,0.00051232836261627,0.00254940383921695
"Clinical History (CH)",10,64,64,0.979517279639879,0,0,0,0.592648250172189,0.1625,0.000255836290954669,0.00127388741756244
"Clinical History (CH)",50,32,16,0.97964515687773,0,0,0,0.598800552582367,0.0666666666666667,0.000127959053103007,0.00127551020408163
"Clinical History (CH)",50,32,32,0.979132910330365,0,0,0,0.600904001649371,0.245238095238095,0.000640205600467933,0.0021244981939337
"Clinical History (CH)",50,32,64,0.97964515687773,0,0,0,0.599349385281445,0.0714285714285714,0.000127959053103007,0.00127388535031847
"Clinical History (CH)",50,64,16,0.979517197824627,0,0,0,0.599176744060701,0.05625,0.000255918106206014,0.00127226514588357
"Clinical History (CH)",50,64,32,0.979645238692982,0,0,0,0.600212986063914,0.0625,0.000127877237851662,0.00127226463104326
"Clinical History (CH)",50,64,64,0.979389238771524,0,0,0,0.601170831943403,0.138888888888889,0.000383877159309021,0.00191042310455723
"Disparity Indicators (DI)",5,32,16,0.0675502541052597,0.0607333988370844,0.962034081117748,0.114244573363071,0.587968985904171,0.566412998059229,0.990235128153623,0.720580914144964
"Disparity Indicators (DI)",5,32,32,0.0625590398334963,0.060596637817911,0.965450607484821,0.114024731686813,0.589554153980148,0.562742440963662,0.995603364965447,0.719030466218328
"Disparity Indicators (DI)",5,32,64,0.0631552459897245,0.0602147650088059,0.957690530982756,0.113295003530514,0.594987137285958,0.567399651040053,0.994064819498462,0.722428835272151
"Disparity Indicators (DI)",5,64,16,0.11092657939245,0.0640382871553249,0.957260811428011,0.119908366211367,0.571792522395355,0.558559464432499,0.946230662162915,0.701732262012806
"Disparity Indicators (DI)",5,64,32,0.0694045899822262,0.0605585181107234,0.957165596599554,0.113901937413594,0.590623378795722,0.566840586012043,0.987752671298079,0.720278082158127
"Disparity Indicators (DI)",5,64,64,0.0620878948327467,0.0601506921204647,0.957690530982756,0.11318121218136,0.598706781979905,0.568249087306934,0.99513217065544,0.723397325443999
"Disparity Indicators (DI)",10,32,16,0.0667037184224336,0.0604124719447304,0.957165596599554,0.1136397640407,0.598501946279098,0.568400288453287,0.990453542857871,0.722276751477705
"Disparity Indicators (DI)",10,32,32,0.0974482932045981,0.0623663274090705,0.958207326848389,0.117107576044236,0.583811901243643,0.564523340769427,0.959834596219508,0.710883785075533
"Disparity Indicators (DI)",10,32,64,0.0621507187686663,0.0601544967636901,0.957690530982756,0.113187938999785,0.598752986858362,0.569018851570757,0.99506934671952,0.724015623314448
"Disparity Indicators (DI)",10,64,16,0.0623077490195038,0.0601647959952955,0.957682392465187,0.113205991484018,0.593713264739803,0.564048065505992,0.99491233619672,0.719923181764911
"Disparity Indicators (DI)",10,64,32,0.0644121239570079,0.0602966758610787,0.957682392465187,0.113438555515327,0.593684876866439,0.568512714778844,0.992807961259216,0.722994435805026
"Disparity Indicators (DI)",10,64,64,0.0747131879128027,0.0609320948523184,0.957690530982756,0.114562653499707,0.592648250172189,0.568262743642371,0.982506877575384,0.720029526191751
"Disparity Indicators (DI)",50,32,16,0.0676442829514496,0.0604915006852935,0.957690530982756,0.113785853895866,0.598800552582367,0.569875747330547,0.989575782536737,0.723232956899916
"Disparity Indicators (DI)",50,32,32,0.0622763370515441,0.0601348542505352,0.957165596599554,0.113149409744003,0.600904001649371,0.570014620642657,0.994880924228761,0.724771936245853
