"Entity","Label","Type","Class"
"45 to 49","AGE_GROUP","text","Disparity Indicators (DI)"
"35 to 39","AGE_GROUP","text","Disparity Indicators (DI)"
"30 to 34","AGE_GROUP","text","Disparity Indicators (DI)"
"10 to 14","AGE_GROUP","text","Disparity Indicators (DI)"
"15 to 19","AGE_GROUP","text","Disparity Indicators (DI)"
"40 to 44","AGE_GROUP","text","Disparity Indicators (DI)"
"50","AGE_GROUP","text","Disparity Indicators (DI)"
"25 to 29","AGE_GROUP","text","Disparity Indicators (DI)"
"5 to 9","AGE_GROUP","text","Disparity Indicators (DI)"
"20 to 24","AGE_GROUP","text","Disparity Indicators (DI)"
"1 to 4","AGE_GROUP","text","Disparity Indicators (DI)"
"male","SEX","text","Disparity Indicators (DI)"
"female","SEX","text","Disparity Indicators (DI)"
"femtle","SEX","text","Disparity Indicators (DI)"
"femsle","SEX","text","Disparity Indicators (DI)"
"mase","SEX","text","Disparity Indicators (DI)"
"mane","SEX","text","Disparity Indicators (DI)"
"malp","SEX","text","Disparity Indicators (DI)"
"femalc","SEX","text","Disparity Indicators (DI)"
"fpmale","SEX","text","Disparity Indicators (DI)"
"femalk","SEX","text","Disparity Indicators (DI)"
"vemale","SEX","text","Disparity Indicators (DI)"
"lale","SEX","text","Disparity Indicators (DI)"
"mtle","SEX","text","Disparity Indicators (DI)"
"malx","SEX","text","Disparity Indicators (DI)"
"fale","SEX","text","Disparity Indicators (DI)"
"fwmale","SEX","text","Disparity Indicators (DI)"
"fumale","SEX","text","Disparity Indicators (DI)"
"fepale","SEX","text","Disparity Indicators (DI)"
"malb","SEX","text","Disparity Indicators (DI)"
"femgle","SEX","text","Disparity Indicators (DI)"
"semale","SEX","text","Disparity Indicators (DI)"
"pale","SEX","text","Disparity Indicators (DI)"
"febale","SEX","text","Disparity Indicators (DI)"
"malo","SEX","text","Disparity Indicators (DI)"
"zale","SEX","text","Disparity Indicators (DI)"
"fqmale","SEX","text","Disparity Indicators (DI)"
"femaly","SEX","text","Disparity Indicators (DI)"
"malh","SEX","text","Disparity Indicators (DI)"
"femalm","SEX","text","Disparity Indicators (DI)"
"femble","SEX","text","Disparity Indicators (DI)"
"iemale","SEX","text","Disparity Indicators (DI)"
"femaqe","SEX","text","Disparity Indicators (DI)"
"wale","SEX","text","Disparity Indicators (DI)"
"mave","SEX","text","Disparity Indicators (DI)"
"femcle","SEX","text","Disparity Indicators (DI)"
"fexale","SEX","text","Disparity Indicators (DI)"
"felale","SEX","text","Disparity Indicators (DI)"
"mkle","SEX","text","Disparity Indicators (DI)"
