"Class","max_epochs","lstm_units","batch_size","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"Clinical History (CH)",5,32,16,0.131783607648383,1,0.131783607648383,0.259561631552923,0.497877519994819,0.202009697931779,0.131783607648383,0.177226098364498
"Clinical History (CH)",5,32,32,0.227573920659486,1,0.227573920659486,0.386427502151562,0.514572190051674,0.214848485903454,0.227573920659486,0.24074764164462
"Clinical History (CH)",5,32,64,0.215566110293171,1,0.215566110293171,0.373369495392096,0.513779321764356,0.239305828990253,0.215566110293171,0.252539577048455
"Clinical History (CH)",5,64,16,0.171571899005183,1,0.171571899005183,0.323229037590675,0.510552965899682,0.280157673584604,0.171571899005183,0.227108703395946
"Clinical History (CH)",5,64,32,0.204133404070306,1,0.204133404070306,0.357460127391375,0.520015945725667,0.2572747652082,0.204133404070306,0.242694153355015
"Clinical History (CH)",5,64,64,0.176490734607645,1,0.176490734607645,0.317626231143523,0.508938987197477,0.245734273440833,0.176490734607645,0.215581189048974
"Clinical History (CH)",10,32,16,0.195594949212737,1,0.195594949212737,0.328886825218052,0.509920413006924,0.20096882458619,0.195594949212737,0.218060198667993
"Clinical History (CH)",10,32,32,0.142194080905936,1,0.142194080905936,0.260270154353314,0.500720251906288,0.241858387546007,0.142194080905936,0.183940168449033
"Clinical History (CH)",10,32,64,0.202396790466833,1,0.202396790466833,0.384109339380068,0.512090463102623,0.290390185455153,0.202396790466833,0.248813557506205
"Clinical History (CH)",10,64,16,0.186904038904633,1,0.186904038904633,0.261168114501387,0.502632577769725,0.263987378645451,0.186904038904633,0.185153215630182
"Clinical History (CH)",10,64,32,0.121350012320057,1,0.121350012320057,0.181919692099018,0.508884867562571,0.149160676037912,0.121350012320057,0.124325909327884
"Clinical History (CH)",10,64,64,0.168966978599973,1,0.168966978599973,0.315268643197267,0.516743053361847,0.221335972669982,0.168966978599973,0.211746849000204
"Clinical History (CH)",50,32,16,0.220627466245593,1,0.220627466245593,0.379251269915809,0.506388916654994,0.21491639571866,0.220627466245593,0.236914899064656
"Clinical History (CH)",50,32,32,0.136550191335139,1,0.136550191335139,0.261028979321709,0.500805225750202,0.189164784808975,0.136550191335139,0.17111877444521
"Clinical History (CH)",50,32,64,0.169110126792884,1,0.169110126792884,0.307701117996501,0.515949956216415,0.199031648171647,0.169110126792884,0.199006500616309
"Clinical History (CH)",50,64,16,0.158109376520557,1,0.158109376520557,0.285680538468572,0.501667859313713,0.196955275956884,0.158109376520557,0.179805289063706
"Clinical History (CH)",50,64,32,0.236694909135429,1,0.236694909135429,0.412966330991908,0.509782661743293,0.257816461704334,0.236694909135429,0.274662999289149
"Clinical History (CH)",50,64,64,0.221499540105038,1,0.221499540105038,0.388277145531727,0.526076604551339,0.280837746146896,0.221499540105038,0.260839078795581
"Disparity Indicators (DI)",5,32,16,0.916854867874172,0.999740249749661,0.917075690963716,0.955634567625958,0.497877519994819,0.543212405902871,0.917093962322658,0.681538350559122
"Disparity Indicators (DI)",5,32,32,0.926700610716769,0.999740417277812,0.926921663116362,0.960999075620655,0.514572190051674,0.56496225945657,0.926939705165255,0.700920926711621
"Disparity Indicators (DI)",5,32,64,0.925330765989573,0.999742097426582,0.925553008571125,0.960443335553014,0.513779321764356,0.567459045690136,0.925569860438059,0.702883948085757
"Disparity Indicators (DI)",5,64,16,0.902133078389577,0.999735041691577,0.902349932827691,0.947167067143243,0.510552965899682,0.564596950503539,0.902372172838063,0.692502049444821
"Disparity Indicators (DI)",5,64,32,0.910605896663267,0.999735569637309,0.910823176855481,0.952034516496767,0.520015945725667,0.574256470881574,0.910844991111753,0.702920182068434
"Disparity Indicators (DI)",5,64,64,0.926632392188974,0.999740389683479,0.926853421297857,0.960960180632661,0.508938987197477,0.552061309083625,0.926871486637459,0.691564642172432
"Disparity Indicators (DI)",10,32,16,0.925569837115457,0.999742177193568,0.925792149688721,0.960571462963717,0.509920413006924,0.551918760399452,0.925808931563943,0.690962123743411
"Disparity Indicators (DI)",10,32,32,0.908177116496516,0.999736515361892,0.908394985561453,0.950772089756165,0.500720251906288,0.554748599901386,0.908416210945002,0.688448729278083
"Disparity Indicators (DI)",10,32,64,0.925433143391833,0.999742141498165,0.925655426765519,0.960495955630399,0.512090463102623,0.56017369488029,0.925672237840318,0.697428910395993
"Disparity Indicators (DI)",10,64,16,0.907937747916468,0.999736470790613,0.908155593529285,0.950623792475403,0.502632577769725,0.549448141890588,0.908176842364954,0.684309214368895
"Disparity Indicators (DI)",10,64,32,0.913227684192638,0.999736123753825,0.913445375805896,0.953543922372617,0.508884867562571,0.557039556780905,0.913466778641124,0.690791858193858
"Disparity Indicators (DI)",10,64,64,0.910742526128779,0.999735598607397,0.910959818017113,0.952122976172276,0.516743053361847,0.579874636317477,0.910981620577265,0.706626024182661
"Disparity Indicators (DI)",50,32,16,0.916786515174241,0.999740233857908,0.917007326581559,0.955594931148739,0.506388916654994,0.553756873059214,0.917025609622727,0.689935274406374
"Disparity Indicators (DI)",50,32,32,0.911183514015188,0.999737451965325,0.911401914196218,0.952805682091544,0.500805225750202,0.55716614709759,0.911422608463674,0.691047205072348
"Disparity Indicators (DI)",50,32,64,0.942487270319939,0.999745413065104,0.942712456810281,0.969535450271383,0.515949956216415,0.559076619164645,0.942726364768425,0.701288580929101
"Disparity Indicators (DI)",50,64,16,0.916210057607855,0.999738129554117,0.9164291133771,0.955370014582184,0.501667859313713,0.548737188380255,0.916449152056341,0.685606197876153
"Disparity Indicators (DI)",50,64,32,0.916615785066062,0.999740172646001,0.916836538159902,0.955510027750124,0.509782661743293,0.55509725377782,0.916854879514548,0.6911785447331
"Disparity Indicators (DI)",50,64,64,0.895915125222754,0.999732181157446,0.896129901304356,0.943541520493899,0.526076604551339,0.599414933870199,0.89615421967124,0.715584116835828
"Preventive Behaviors (PB)",5,32,16,0.0283839980020515,1,0.0283839980020515,0.0673643717109695,0.497877519994819,0.156468915523199,0.0283839980020515,0.0492786523479997
"Preventive Behaviors (PB)",5,32,32,0.0296018781490527,1,0.0296018781490527,0.0923704589207823,0.514572190051674,0.163472260274359,0.0296018781490527,0.074227522269272
"Preventive Behaviors (PB)",5,32,64,0.0368762542357611,1,0.0368762542357611,0.0860472340344654,0.513779321764356,0.187993167203637,0.0368762542357611,0.0614067978044537
"Preventive Behaviors (PB)",5,64,16,0.0523212782480682,1,0.0523212782480682,0.0975145380114861,0.510552965899682,0.159508599037591,0.0523212782480682,0.073296739912319
"Preventive Behaviors (PB)",5,64,32,0.057694679589005,1,0.057694679589005,0.106437607510416,0.520015945725667,0.17857843675229,0.057694679589005,0.0793562535318119
"Preventive Behaviors (PB)",5,64,64,0.0387499364955496,1,0.0387499364955496,0.0912005569377151,0.508938987197477,0.158551302017377,0.0387499364955496,0.0690725899717018
"Preventive Behaviors (PB)",10,32,16,0.0283797315546919,1,0.0283797315546919,0.054914101657959,0.509920413006924,0.169707224372833,0.0283797315546919,0.0448764085745539
"Preventive Behaviors (PB)",10,32,32,0.060528250294371,1,0.060528250294371,0.110871144267528,0.500720251906288,0.150558502284275,0.060528250294371,0.0757311690141665
"Preventive Behaviors (PB)",10,32,64,0.0397973605580884,1,0.0397973605580884,0.0934171979609196,0.512090463102623,0.177979195024132,0.0397973605580884,0.0701064998913804
"Preventive Behaviors (PB)",10,64,16,0.0428005799793901,1,0.0428005799793901,0.0809006692248101,0.502632577769725,0.161859954555237,0.0428005799793901,0.060115769982501
"Preventive Behaviors (PB)",10,64,32,0.0418611863875645,1,0.0418611863875645,0.0788375975512549,0.508884867562571,0.162892907704898,0.0418611863875645,0.0599314350398392
"Preventive Behaviors (PB)",10,64,64,0.0556301462483069,1,0.0556301462483069,0.103394521180167,0.516743053361847,0.184184246403743,0.0556301462483069,0.0766841218214799
"Preventive Behaviors (PB)",50,32,16,0.0166914001708398,1,0.0166914001708398,0.0539053455026834,0.506388916654994,0.128125523767,0.0166914001708398,0.0426110655907451
"Preventive Behaviors (PB)",50,32,32,0.0515785648946991,1,0.0515785648946991,0.0972197756588522,0.500805225750202,0.173898394463389,0.0515785648946991,0.0737937715542617
"Preventive Behaviors (PB)",50,32,64,0.0319688611958253,1,0.0319688611958253,0.0609829702533389,0.515949956216415,0.181289215095353,0.0319688611958253,0.050086670554873
"Preventive Behaviors (PB)",50,64,16,0.0342184320071805,1,0.0342184320071805,0.080698338278294,0.501667859313713,0.152375026582792,0.0342184320071805,0.0616405966818222
"Preventive Behaviors (PB)",50,64,32,0.0247064873938478,1,0.0247064873938478,0.0592982859551159,0.509782661743293,0.171630797437646,0.0247064873938478,0.0455252331949809
"Preventive Behaviors (PB)",50,64,64,0.0545952987166746,1,0.0545952987166746,0.100933916158621,0.526076604551339,0.204512855261697,0.0545952987166746,0.0731458973843527
"Risk Indicator (RI)",5,32,16,0,NA,0,NA,0.497877519994819,NA,0,NA
"Risk Indicator (RI)",5,32,32,0,NA,0,NA,0.514572190051674,0,0,NA
"Risk Indicator (RI)",5,32,64,0,NA,0,NA,0.513779321764356,NA,0,NA
"Risk Indicator (RI)",5,64,16,0,NA,0,NA,0.510552965899682,NA,0,NA
"Risk Indicator (RI)",5,64,32,0,NA,0,NA,0.520015945725667,0,0,NA
"Risk Indicator (RI)",5,64,64,0,NA,0,NA,0.508938987197477,NA,0,NA
"Risk Indicator (RI)",10,32,16,0,NA,0,NA,0.509920413006924,NA,0,NA
"Risk Indicator (RI)",10,32,32,0,NA,0,NA,0.500720251906288,NA,0,NA
"Risk Indicator (RI)",10,32,64,0.00150125104253545,1,0.00150125104253545,0.0149006622516556,0.512090463102623,0.147540983606557,0.00150125104253545,0.0142857142857143
"Risk Indicator (RI)",10,64,16,0,NA,0,NA,0.502632577769725,0,0,NA
"Risk Indicator (RI)",10,64,32,0,NA,0,NA,0.508884867562571,NA,0,NA
"Risk Indicator (RI)",10,64,64,0,NA,0,NA,0.516743053361847,NA,0,NA
"Risk Indicator (RI)",50,32,16,0,NA,0,NA,0.506388916654994,NA,0,NA
"Risk Indicator (RI)",50,32,32,0,NA,0,NA,0.500805225750202,NA,0,NA
"Risk Indicator (RI)",50,32,64,0,NA,0,NA,0.515949956216415,NA,0,NA
"Risk Indicator (RI)",50,64,16,0,NA,0,NA,0.501667859313713,NA,0,NA
"Risk Indicator (RI)",50,64,32,0.00149750415973378,1,0.00149750415973378,0.0148637489677952,0.509782661743293,0.0302013422818792,0.00149750415973378,0.012
"Risk Indicator (RI)",50,64,64,0,NA,0,NA,0.526076604551339,0,0,NA
"Risk Perception (RP)",5,32,16,0.160608943862988,1,0.160608943862988,0.890765171503958,0.497877519994819,0.424974823766365,0.160608943862988,0.55581165623971
"Risk Perception (RP)",5,32,32,0.161750713606089,1,0.161750713606089,0.894266175697002,0.514572190051674,0.376940133037694,0.161750713606089,0.514216575922565
"Risk Perception (RP)",5,32,64,0.161750713606089,1,0.161750713606089,0.894266175697002,0.513779321764356,0.336101225780941,0.161750713606089,0.474860335195531
"Risk Perception (RP)",5,64,16,0.28214072765167,1,0.28214072765167,0.825963245633407,0.510552965899682,0.501562040711346,0.28214072765167,0.583401537079549
"Risk Perception (RP)",5,64,32,0.285632730732636,1,0.285632730732636,0.83290246225255,0.520015945725667,0.463617397309511,0.285632730732636,0.561724717320385
