"Entity","Label","Type","Class"
"female","SEX","text","Disparity Indicators (DI)"
"male","SEX","text","Disparity Indicators (DI)"
"nr","SEX","text","Disparity Indicators (DI)"
"45 to 49","AGE_GROUP","text","Disparity Indicators (DI)"
"35 to 39","AGE_GROUP","text","Disparity Indicators (DI)"
"30 to 34","AGE_GROUP","text","Disparity Indicators (DI)"
"10 to 14","AGE_GROUP","text","Disparity Indicators (DI)"
"15 to 19","AGE_GROUP","text","Disparity Indicators (DI)"
"40 to 44","AGE_GROUP","text","Disparity Indicators (DI)"
"50","AGE_GROUP","text","Disparity Indicators (DI)"
"25 to 29","AGE_GROUP","text","Disparity Indicators (DI)"
"5 to 9","AGE_GROUP","text","Disparity Indicators (DI)"
"20 to 24","AGE_GROUP","text","Disparity Indicators (DI)"
"1 to 4","AGE_GROUP","text","Disparity Indicators (DI)"
"yes","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"no","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"nr","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"unk","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"bach degree","EDUCATION","text","Disparity Indicators (DI)"
"post grad study","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degree","EDUCATION","text","Disparity Indicators (DI)"
"grades 6 to 8","EDUCATION","text","Disparity Indicators (DI)"
"grades 1 to 5","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to 11","EDUCATION","text","Disparity Indicators (DI)"
"prof degree","EDUCATION","text","Disparity Indicators (DI)"
"spec ed","EDUCATION","text","Disparity Indicators (DI)"
"nr","EDUCATION","text","Disparity Indicators (DI)"
"no school","EDUCATION","text","Disparity Indicators (DI)"
"employed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying","EMPLOYMENT","text","Disparity Indicators (DI)"
"self emp","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed pt","EMPLOYMENT","text","Disparity Indicators (DI)"
"informal work","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"health cond disability","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying working","EMPLOYMENT","text","Disparity Indicators (DI)"
"other","EMPLOYMENT","text","Disparity Indicators (DI)"
"retired","EMPLOYMENT","text","Disparity Indicators (DI)"
"nr","EMPLOYMENT","text","Disparity Indicators (DI)"
"both","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"inside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"outside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"nr","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"some","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"all","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"none","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nr","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"unk","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"all that open","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"always","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"never","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"sometimes","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"nr","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"inside","STUDY_LOCATION","text","Risk Indicator (RI)"
"both","STUDY_LOCATION","text","Risk Indicator (RI)"
"outside","STUDY_LOCATION","text","Risk Indicator (RI)"
"nr","STUDY_LOCATION","text","Risk Indicator (RI)"
"none","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"unk","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"all","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"some","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nr","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"all that open","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"never","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"always","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"sometimes","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"nr","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"yes","INSURANCE","text","Disparity Indicators (DI)"
"unk","INSURANCE","text","Disparity Indicators (DI)"
"no","INSURANCE","text","Disparity Indicators (DI)"
"nr","INSURANCE","text","Disparity Indicators (DI)"
"no","PREGNANT","text","Disparity Indicators (DI)"
"nr","PREGNANT","text","Disparity Indicators (DI)"
"unk","PREGNANT","text","Disparity Indicators (DI)"
"yes","PREGNANT","text","Disparity Indicators (DI)"
"yes","VAX_FLU","text","Preventive Behaviors (PB)"
"no","VAX_FLU","text","Preventive Behaviors (PB)"
