"Class","algorithm","max_iterations","G_Accuracy","G_Precision","G_Recall","G_F1","Accuracy","Precision","Recall","F1"
"Clinical History (CH)","arow",5,0.997104276090976,1,0.997104276090976,0.998547235826651,0.997968032878773,0.99567117583998,0.997104276090976,0.996385234492774
"Clinical History (CH)","arow",10,0.998698898461412,1,0.998698898461412,0.999348847839204,0.998846236046125,0.997402900047285,0.998698898461412,0.998049051103295
"Clinical History (CH)","arow",50,0.998698898461412,1,0.998698898461412,0.999348847839204,0.999448968927673,0.998561039394034,0.998698898461412,0.99862833558947
"Clinical History (CH)","arow",100,0.99913305186228,1,0.99913305186228,0.999566160407114,0.99956951164882,0.998558867637159,0.99913305186228,0.998844815742149
"Clinical History (CH)","averaged-perceptron",5,0.889015930418426,1,0.889015930418426,0.934959119204053,0.85818505120582,0.902412914354016,0.889015930418426,0.892040001930542
"Clinical History (CH)","averaged-perceptron",10,0.915921129733925,1,0.915921129733925,0.950358404796313,0.959051139171128,0.938529229636588,0.915921129733925,0.922529359882996
"Clinical History (CH)","averaged-perceptron",50,0.992332461445689,1,0.992332461445689,0.996147747691211,0.996555107246098,0.994488415839117,0.992332461445689,0.993407284732478
"Clinical History (CH)","averaged-perceptron",100,0.992766196587019,1,0.992766196587019,0.996366959522646,0.997640273546138,0.99840199250493,0.992766196587019,0.995571939681007
"Clinical History (CH)","l2sgd",5,0.617913855614292,1,0.617913855614292,0.643306594425589,0.801493905674633,0.749585721649307,0.617913855614292,0.635707742871739
"Clinical History (CH)","l2sgd",10,0.620663495032138,1,0.620663495032138,0.644693365873214,0.804404723599582,0.754654851278438,0.620663495032138,0.639644477864621
"Clinical History (CH)","l2sgd",50,0.722692273228135,1,0.722692273228135,0.766692950483368,0.859845038100742,0.833238076786953,0.722692273228135,0.750667442234161
"Clinical History (CH)","l2sgd",100,0.804023677596971,1,0.804023677596971,0.820191151211735,0.893106426785028,0.853559167802205,0.804023677596971,0.804860141518907
"Clinical History (CH)","lbfgs",5,0.977276015595466,1,0.977276015595466,0.988453391253632,0.913646661525076,0.808087386003951,0.977276015595466,0.8846153958544
"Clinical History (CH)","lbfgs",10,0.995371119117118,1,0.995371119117118,0.997678365220091,0.997846647808139,0.996382843276239,0.995371119117118,0.995873250159292
"Clinical History (CH)","lbfgs",50,0.998988124932222,1,0.998988124932222,0.999493565639535,0.999621026667652,0.998844240629983,0.998988124932222,0.998915373883531
"Clinical History (CH)","lbfgs",100,0.998988124932222,1,0.998988124932222,0.999493565639535,0.999621026667652,0.998844240629983,0.998988124932222,0.998915373883531
"Clinical History (CH)","passive-aggressive",5,0.999132842732511,1,0.999132842732511,0.99956605561512,0.972111647814968,0.999566473988439,0.999132842732511,0.999349214232942
"Clinical History (CH)","passive-aggressive",10,0.99942196486493,1,0.99942196486493,0.999710825792669,0.993543824858694,0.999566473988439,0.99942196486493,0.99949398441049
"Clinical History (CH)","passive-aggressive",50,0.999566055728901,1,0.999566055728901,0.999782896959537,0.999827761363315,0.999566473988439,0.999566055728901,0.999566055577358
"Clinical History (CH)","passive-aggressive",100,0.999566055728901,1,0.999566055728901,0.999782896959537,0.999827761363315,0.999566473988439,0.999566055728901,0.999566055577358
"Disparity Indicators (DI)","arow",5,0.998190962771054,0.99976057775579,0.998429765914944,0.999093052612487,0.997968032878773,0.999350528413076,0.998430074712983,0.998888427557626
"Disparity Indicators (DI)","arow",10,0.998975811772931,0.999760712932265,0.999214748850097,0.999487392700279,0.998846236046125,0.999521764338209,0.99921492371486,0.99936806583995
"Disparity Indicators (DI)","arow",50,0.999521863625185,0.999760818054443,0.999760905571454,0.999760855977065,0.999448968927673,0.999522306253421,0.999760975567114,0.999641531678738
"Disparity Indicators (DI)","arow",100,0.999521863625185,0.999760818054443,0.999760905571454,0.999760855977065,0.99956951164882,0.999761074567265,0.999760975567114,0.999760987159
"Disparity Indicators (DI)","averaged-perceptron",5,0.998770281356159,0.999760648620097,0.999009154043691,0.999384749548111,0.85818505120582,0.805891601582109,0.999009393298087,0.891438665024321
"Disparity Indicators (DI)","averaged-perceptron",10,0.998531151956644,0.999760572573678,0.998769948773544,0.999264993526508,0.959051139171128,0.96182672258399,0.998770263898572,0.979897750902869
"Disparity Indicators (DI)","averaged-perceptron",50,0.998633616865943,0.999760595950138,0.9988724370194,0.999316285815364,0.996555107246098,0.997106266365405,0.998872728807872,0.99798782880751
"Disparity Indicators (DI)","averaged-perceptron",100,0.998906928448559,0.999760677851662,0.999145830317747,0.999453151932725,0.997640273546138,0.997380001289935,0.999146040390487,0.998261014390895
"Disparity Indicators (DI)","l2sgd",5,0.998633803502489,0.999760590134951,0.998872617882583,0.999316344267889,0.801493905674633,0.803331058004696,0.998872915444417,0.870527273914419
"Disparity Indicators (DI)","l2sgd",10,0.998633803502489,0.999760590134951,0.998872617882583,0.999316344267889,0.804404723599582,0.806155770481962,0.998872915444417,0.872060212190378
"Disparity Indicators (DI)","l2sgd",50,0.999009311717779,0.999760689502008,0.999248225225379,0.999504382910073,0.859845038100742,0.84948588906849,0.999248423659707,0.904984857573252
"Disparity Indicators (DI)","l2sgd",100,0.999350841802281,0.999760800459239,0.999589866167367,0.99967530555366,0.893106426785028,0.894814807305607,0.999589953744209,0.93198005162692
"Disparity Indicators (DI)","lbfgs",5,0.982510614900315,0.999756660660418,0.982745571994245,0.991177878664789,0.913646661525076,0.981993497850387,0.982749726842243,0.982366631427859
"Disparity Indicators (DI)","lbfgs",10,0.999077629394977,0.999760712878442,0.999316566247078,0.999538582624489,0.997846647808139,0.997748952876123,0.999316741336906,0.998532186902918
"Disparity Indicators (DI)","lbfgs",50,0.999487605593321,0.999760812183413,0.999726641668574,0.999743722545283,0.999621026667652,0.999658481438344,0.99972671753525,0.999692576154741
"Disparity Indicators (DI)","lbfgs",100,0.999487605593321,0.999760812183413,0.999726641668574,0.999743722545283,0.999621026667652,0.999658481438344,0.99972671753525,0.999692576154741
"Disparity Indicators (DI)","passive-aggressive",5,0.998735673377926,0.999760700524664,0.998974598438134,0.999366729021115,0.972111647814968,0.951734140213893,0.998974785319855,0.973990471908565
"Disparity Indicators (DI)","passive-aggressive",10,0.999624287672626,0.999760847212153,0.99986335877462,0.99981209277979,0.993543824858694,0.987836593449219,0.999863399614555,0.993744115953876
"Disparity Indicators (DI)","passive-aggressive",50,0.99959007050262,0.999760835523961,0.99982912991443,0.999794976885806,0.999827761363315,0.999931775541532,0.999829182444549,0.999880457124356
"Disparity Indicators (DI)","passive-aggressive",100,0.99959007050262,0.999760835523961,0.99982912991443,0.999794976885806,0.999827761363315,0.999931775541532,0.999829182444549,0.999880457124356
