"Entity","Label","Type","Class"
"45 to 49","AGE_GROUP","text","Disparity Indicators (DI)"
"35 to 39","AGE_GROUP","text","Disparity Indicators (DI)"
"30 to 34","AGE_GROUP","text","Disparity Indicators (DI)"
"10 to 14","AGE_GROUP","text","Disparity Indicators (DI)"
"15 to 19","AGE_GROUP","text","Disparity Indicators (DI)"
"40 to 44","AGE_GROUP","text","Disparity Indicators (DI)"
"50","AGE_GROUP","text","Disparity Indicators (DI)"
"25 to 29","AGE_GROUP","text","Disparity Indicators (DI)"
"5 to 9","AGE_GROUP","text","Disparity Indicators (DI)"
"20 to 24","AGE_GROUP","text","Disparity Indicators (DI)"
"1 to 4","AGE_GROUP","text","Disparity Indicators (DI)"
"female","SEX","text","Disparity Indicators (DI)"
"femaye","SEX","text","Disparity Indicators (DI)"
"male","SEX","text","Disparity Indicators (DI)"
"fetale","SEX","text","Disparity Indicators (DI)"
"mile","SEX","text","Disparity Indicators (DI)"
"femate","SEX","text","Disparity Indicators (DI)"
"femace","SEX","text","Disparity Indicators (DI)"
"femalk","SEX","text","Disparity Indicators (DI)"
"maxe","SEX","text","Disparity Indicators (DI)"
"sale","SEX","text","Disparity Indicators (DI)"
"vemale","SEX","text","Disparity Indicators (DI)"
"hale","SEX","text","Disparity Indicators (DI)"
"fehale","SEX","text","Disparity Indicators (DI)"
"femalh","SEX","text","Disparity Indicators (DI)"
"femble","SEX","text","Disparity Indicators (DI)"
"femtle","SEX","text","Disparity Indicators (DI)"
"malk","SEX","text","Disparity Indicators (DI)"
"fymale","SEX","text","Disparity Indicators (DI)"
"fbmale","SEX","text","Disparity Indicators (DI)"
"qale","SEX","text","Disparity Indicators (DI)"
"mafe","SEX","text","Disparity Indicators (DI)"
"bemale","SEX","text","Disparity Indicators (DI)"
"femaje","SEX","text","Disparity Indicators (DI)"
"fepale","SEX","text","Disparity Indicators (DI)"
"femare","SEX","text","Disparity Indicators (DI)"
"malr","SEX","text","Disparity Indicators (DI)"
"mave","SEX","text","Disparity Indicators (DI)"
"mqle","SEX","text","Disparity Indicators (DI)"
"femaae","SEX","text","Disparity Indicators (DI)"
"fomale","SEX","text","Disparity Indicators (DI)"
"mald","SEX","text","Disparity Indicators (DI)"
"aale","SEX","text","Disparity Indicators (DI)"
"fenale","SEX","text","Disparity Indicators (DI)"
"femxle","SEX","text","Disparity Indicators (DI)"
"maoe","SEX","text","Disparity Indicators (DI)"
"femalr","SEX","text","Disparity Indicators (DI)"
"malo","SEX","text","Disparity Indicators (DI)"
"malm","SEX","text","Disparity Indicators (DI)"
